,name,rating,review_count,company_type,headquarters,salaries_count,interview_count
70,ICICI Prudential Life Insurance,N/A,8.3k,Insurance,Mumbai +530 other locations,23k,508
71,JPMorgan Chase & Co.,N/A,8.3k,Financial Services,Bengaluru +68 other locations,93.8k,911
72,Jana Small Finance Bank,N/A,8.3k,Banking,Bengaluru +451 other locations,14.2k,328
73,Zydus Lifesciences,N/A,8.3k,Pharma,Ahmedabad +194 other locations,20.6k,602
74,Sun Pharmaceutical Industries,N/A,8.2k,Pharma,Vadodara +272 other locations,24.1k,736
75,KPMG India,N/A,8k,Management Consulting,Bengaluru +127 other locations,71.8k,980
76,Axis Max Life Insurance,N/A,7.9k,Insurance,New Delhi +538 other locations,20.9k,448
77,Lupin,N/A,7.9k,Pharma,Pune +214 other locations,22.6k,467
78,HGS,N/A,7.9k,Emerging Technologies,Bengaluru +125 other locations,20.1k,282
79,ITC,N/A,7.8k,FMCG,Bengaluru +405 other locations,25.8k,738
80,Hindustan Unilever ,N/A,7.7k,FMCG,Mumbai +573 other locations,21k,500
81,Megha Engineering & Infrastructures,N/A,7.7k,Engineering & Construction,Hyderabad +433 other locations,19.8k,623
82,Amazon Development Centre India,N/A,7.7k,Internet,Hyderabad +148 other locations,39.5k,925
83,L&T Construction,N/A,7.6k,Engineering & Construction,Chennai +447 other locations,19.2k,968
84,Cholamandalam Investment & Finance,N/A,7.6k,Financial Services,Chennai +921 other locations,13.2k,320
85,Tata Projects,N/A,7.5k,Engineering & Construction,Mumbai +297 other locations,23.1k,665
86,Bajaj Life Insurance,N/A,7.4k,Insurance,Pune +643 other locations,18k,469
87,L&T Technology Services,N/A,7.2k,IT Services & Consulting,Bengaluru +101 other locations,46k,667
88,Omega Healthcare,N/A,7.1k,BPO,Chennai +74 other locations,28.8k,589
89,Oracle,N/A,7k,Software Product,Bengaluru +61 other locations,65.7k,981
90,FIS,N/A,7k,FinTech,Pune +64 other locations,38.6k,556
91,JLL,N/A,7.1k,Real Estate,Gurugram +93 other locations,26.4k,518
92,DMart,N/A,6.9k,Retail,Mumbai +266 other locations,19.9k,595
93,Muthoot Finance,N/A,7.1k,NBFC,Bengaluru +835 other locations,13.4k,395
94,IIFL Finance,N/A,6.9k,NBFC,Mumbai +864 other locations,14.1k,348
95,eClerx,N/A,6.8k,IT Services & Consulting,Pune +36 other locations,33.9k,676
96,PolicyBazaar,N/A,6.8k,Internet,Gurugram +180 other locations,19.3k,693
97,Indian Army,N/A,6.7k,Defence & Aerospace,New Delhi +386 other locations,9.6k,222
98,Indiamart Intermesh,N/A,6.7k,Internet,Noida +169 other locations,21.7k,841
99,Piramal Finance,N/A,6.7k,NBFC,Mumbai +450 other locations,12.8k,312
100,SMFG India Credit,N/A,6.6k,NBFC,Mumbai +632 other locations,11.5k,231
101,Virtusa Consulting Services,N/A,6.6k,IT Services & Consulting,Hyderabad +58 other locations,57.8k,702
102,Manappuram Finance,N/A,6.5k,NBFC,Bengaluru +704 other locations,9.5k,247
103,HSBC Group,N/A,6.5k,Financial Services,Bengaluru +68 other locations,46.2k,575
104,Access Healthcare,N/A,6.5k,BPO,Chennai +67 other locations,30.3k,429
105,bigbasket,N/A,6.5k,Internet,Bengaluru +157 other locations,20.4k,530
106,Swiggy,N/A,6.3k,Internet,Bengaluru +255 other locations,25.2k,631
107,GlobalLogic,N/A,6.3k,IT Services & Consulting,Hyderabad +65 other locations,42.8k,713
108,Firstsource Solutions,N/A,6.3k,BPO,Bengaluru +76 other locations,25.4k,389
109,ICICI Lombard General Insurance Company,N/A,6.3k,Insurance,Mumbai +330 other locations,20.5k,392
110,Tata Capital,N/A,6.3k,NBFC,Mumbai +494 other locations,16.8k,317
111,Siemens,N/A,6.2k,Industrial Automation,Bengaluru +166 other locations,35.5k,532
112,HCL Group,N/A,6.2k,IT Services & Consulting,Chennai +106 other locations,38.6k,529
113,Shapoorji Pallonji Group,N/A,6.2k,Engineering & Construction,Mumbai +192 other locations,15.6k,466
114,Aurobindo Pharma,N/A,6.2k,Pharma,Hyderabad +121 other locations,20.3k,313
115,UST,N/A,6.1k,IT Services & Consulting,Bengaluru +58 other locations,41.4k,628
116,Apollo Hospitals,N/A,6.3k,Healthcare,Chennai +237 other locations,17.3k,534
